tensioni;tempo;intersezione2;intersezione3
1809;60;139;127
1809;60;159;136
1809;60;135;121
1809;60;146;125
1809;60;149;131
1809;60;149;134
1809;60;128;107
1809;60;145;134
1809;60;122;109
1809;60;166;140
1809;60;134;120
1809;60;145;128
1809;60;137;123
1809;60;131;117
1809;60;127;113
1809;60;104;93
1809;60;127;106
1809;60;131;121
1809;60;118;107
1809;60;137;119
1809;60;102;90
1809;60;153;139
1809;60;127;121
1809;60;163;140
1809;60;133;122
1809;60;133;122
1809;60;150;138
1704;60;133;117
1614;60;142;123
